Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,2015-01-01,35.86
Austria,AUT,2015-01-02,35.86
Austria,AUT,2015-01-03,35.86
Austria,AUT,2015-01-04,35.86
Austria,AUT,2015-01-05,36.18
Austria,AUT,2015-01-06,33.67
Austria,AUT,2015-01-07,38.59
Austria,AUT,2015-01-08,28.05
Austria,AUT,2015-01-09,24.48
Austria,AUT,2015-01-10,12.15
Austria,AUT,2015-01-11,1.49
Austria,AUT,2015-01-12,22.56
Austria,AUT,2015-01-13,24.97
Austria,AUT,2015-01-14,27.68
Austria,AUT,2015-01-15,24.76
Austria,AUT,2015-01-16,33.89
Austria,AUT,2015-01-17,31.26
Austria,AUT,2015-01-18,27.18
Austria,AUT,2015-01-19,42.75
Austria,AUT,2015-01-20,47.0
Austria,AUT,2015-01-21,44.93
Austria,AUT,2015-01-22,43.88
Austria,AUT,2015-01-23,42.26
Austria,AUT,2015-01-24,29.56
Austria,AUT,2015-01-25,28.43
Austria,AUT,2015-01-26,37.23
Austria,AUT,2015-01-27,33.21
Austria,AUT,2015-01-28,27.47
Austria,AUT,2015-01-29,26.93
Austria,AUT,2015-01-30,38.29
Austria,AUT,2015-01-31,29.78
Austria,AUT,2015-02-01,29.24
Austria,AUT,2015-02-02,42.47
Austria,AUT,2015-02-03,45.76
Austria,AUT,2015-02-04,48.49
Austria,AUT,2015-02-05,43.57
Austria,AUT,2015-02-06,39.29
Austria,AUT,2015-02-07,25.52
Austria,AUT,2015-02-08,13.33
Austria,AUT,2015-02-09,27.93
Austria,AUT,2015-02-10,44.4
Austria,AUT,2015-02-11,48.58
Austria,AUT,2015-02-12,48.15
Austria,AUT,2015-02-13,38.61
Austria,AUT,2015-02-14,32.74
Austria,AUT,2015-02-15,29.27
Austria,AUT,2015-02-16,35.63
Austria,AUT,2015-02-17,42.99
Austria,AUT,2015-02-18,43.22
Austria,AUT,2015-02-19,37.92
Austria,AUT,2015-02-20,30.91
Austria,AUT,2015-02-21,30.69
Austria,AUT,2015-02-22,32.76
Austria,AUT,2015-02-23,31.98
Austria,AUT,2015-02-24,34.8
Austria,AUT,2015-02-25,44.33
Austria,AUT,2015-02-26,37.12
Austria,AUT,2015-02-27,38.94
Austria,AUT,2015-02-28,28.81
Austria,AUT,2015-03-01,11.01
Austria,AUT,2015-03-02,26.57
Austria,AUT,2015-03-03,27.61
